scenario,role,metric,source,n_points_curve,n_runs_min,n_runs_max,curve_mean_of_mean,curve_std_of_mean,curve_min_of_mean,curve_q10_of_mean,curve_q25_of_mean,curve_median_of_mean,curve_q75_of_mean,curve_q90_of_mean,curve_max_of_mean,curve_range_of_mean,curve_iqr_of_mean,curve_cv_of_mean,curve_mean_of_std,curve_std_of_std,curve_max_of_std,curve_mean_iqr_width,curve_std_iqr_width,curve_median_iqr_width,curve_max_iqr_width,curve_mean_p10p90_width,curve_std_p10p90_width,curve_median_p10p90_width,curve_max_p10p90_width
medium,client,offset_ms,aggregated_curve_over_sample_idx,100,14,15,-4.267922,3.462508,-8.341873,-8.129995,-7.787613,-4.432113,0.0,0.0,0.0,8.341873,7.787613,-0.811287,1.488387,1.280922,4.480414,1.836943,1.90993,1.7712,8.2843,3.215262,2.867929,3.38699,9.4523
medium,client,jitter_ms,aggregated_curve_over_sample_idx,100,14,15,1.977545,1.642297,0.000107,0.000113,0.000113,2.408307,3.06182,4.013715,4.731779,4.731672,3.061707,0.830473,1.211816,1.106429,3.107388,1.550289,1.617459,1.376325,6.030975,2.624747,2.527731,2.3214,7.28402
medium,client,delay_ms,aggregated_curve_over_sample_idx,100,14,15,9.886994,7.923692,0.0,0.0,0.0,10.758053,17.661165,18.472483,19.076787,19.076787,17.661165,0.801426,3.106372,2.649403,10.138552,3.77644,3.921149,3.9831,19.405,6.511127,5.84461,6.70606,21.35946
medium,boundary,offset_ms,aggregated_curve_over_sample_idx,100,14,15,0.217594,0.176634,0.0,0.0,0.09179,0.194427,0.35254,0.47304,0.599453,0.599453,0.26075,0.811758,0.178557,0.158983,0.58465,0.162828,0.133194,0.1627,0.48875,0.354669,0.294285,0.31012,1.24062
medium,boundary,jitter_ms,aggregated_curve_over_sample_idx,100,14,15,0.312584,0.20069,0.0,0.000193,0.151877,0.430043,0.479057,0.501449,0.53326,0.53326,0.32718,0.642035,0.191044,0.134465,0.455755,0.179367,0.121788,0.2079,0.40175,0.336329,0.231777,0.37574,0.89728
medium,boundary,delay_ms,aggregated_curve_over_sample_idx,100,14,15,0.953896,0.616606,0.0,0.0,0.730595,0.900773,1.486935,1.75378,2.007113,2.007113,0.75634,0.646408,0.407998,0.334846,1.278245,0.414283,0.288403,0.37835,1.19515,0.859703,0.649471,0.83362,2.67926
