sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T10:21:21+00:00,1775384481.0,0.0,0,0.001996905,1996.9050000000002,0.002065741,2065.741,low,run13
1,2026-04-05T10:22:22+00:00,1775384542.0,61.0,61,0.00083328,833.2800000000001,0.001379794,1379.7939999999999,low,run13
2,2026-04-05T10:23:24+00:00,1775384604.0,123.0,123,-2.118e-06,-2.118,0.002119451,2119.451,low,run13
3,2026-04-05T10:24:25+00:00,1775384665.0,184.0,184,0.000396048,396.04799999999994,0.00039865,398.65000000000003,low,run13
4,2026-04-05T10:25:27+00:00,1775384727.0,246.0,246,0.00064035,640.35,0.00127701,1277.01,low,run13
5,2026-04-05T10:26:31+00:00,1775384791.0,310.0,310,-0.001805871,-1805.8709999999999,0.0014981,1498.1000000000001,low,run13
6,2026-04-05T10:27:34+00:00,1775384854.0,373.0,373,0.000583037,583.037,0.004116418,4116.418000000001,low,run13
7,2026-04-05T10:28:37+00:00,1775384917.0,436.0,436,0.002046326,2046.3259999999998,0.001056714,1056.714,low,run13
8,2026-04-05T10:29:41+00:00,1775384981.0,500.0,500,0.001928065,1928.065,0.0010635,1063.5,low,run13
9,2026-04-05T10:30:44+00:00,1775385044.0,563.0,563,0.002342321,2342.321,0.001402833,1402.833,low,run13
