t_s,hhmmss,type,detail,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
71972.0,19:59:32,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0,0,0,medium,run04,boundary
71987.0,19:59:47,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,15.0,15,1,medium,run04,boundary
72002.0,20:00:02,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,30.0,30,2,medium,run04,boundary
72017.0,20:00:17,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,45.0,45,3,medium,run04,boundary
72032.0,20:00:32,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,60.0,60,4,medium,run04,boundary
72047.0,20:00:47,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,75.0,75,5,medium,run04,boundary
72062.0,20:01:02,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,90.0,90,6,medium,run04,boundary
72077.0,20:01:17,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,105.0,105,7,medium,run04,boundary
72092.0,20:01:32,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,120.0,120,8,medium,run04,boundary
72107.0,20:01:47,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,135.0,135,9,medium,run04,boundary
72122.0,20:02:02,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,150.0,150,10,medium,run04,boundary
72138.0,20:02:18,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,166.0,166,11,medium,run04,boundary
72153.0,20:02:33,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,181.0,181,12,medium,run04,boundary
72168.0,20:02:48,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,196.0,196,13,medium,run04,boundary
72183.0,20:03:03,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,211.0,211,14,medium,run04,boundary
72198.0,20:03:18,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,226.0,226,15,medium,run04,boundary
72213.0,20:03:33,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,241.0,241,16,medium,run04,boundary
72228.0,20:03:48,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,256.0,256,17,medium,run04,boundary
72243.0,20:04:03,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,271.0,271,18,medium,run04,boundary
72258.0,20:04:18,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,286.0,286,19,medium,run04,boundary
72273.0,20:04:33,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,301.0,301,20,medium,run04,boundary
72484.0,20:08:04,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    5   64   17   1.7300   0.5258   0.2374,512.0,512,21,medium,run04,boundary
72499.0,20:08:19,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   21   64   17   1.7300   0.5258   0.2374,527.0,527,22,medium,run04,boundary
72514.0,20:08:34,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   36   64   17   1.7300   0.5258   0.2374,542.0,542,23,medium,run04,boundary
72529.0,20:08:49,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   51   64   17   1.7300   0.5258   0.2374,557.0,557,24,medium,run04,boundary
72544.0,20:09:04,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   66   64   17   1.7300   0.5258   0.2374,572.0,572,25,medium,run04,boundary
72559.0,20:09:19,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   14   64   37   1.7769   0.3672   0.1158,587.0,587,26,medium,run04,boundary
72574.0,20:09:34,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   29   64   37   1.7769   0.3672   0.1158,602.0,602,27,medium,run04,boundary
72589.0,20:09:49,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   44   64   37   1.7769   0.3672   0.1158,617.0,617,28,medium,run04,boundary
72605.0,20:10:05,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   59   64   37   1.7769   0.3672   0.1158,633.0,633,29,medium,run04,boundary
72620.0,20:10:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   10   64   77   2.8697   1.0971   0.7463,648.0,648,30,medium,run04,boundary
72635.0,20:10:35,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   25   64   77   2.8697   1.0971   0.7463,663.0,663,31,medium,run04,boundary
72650.0,20:10:50,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   40   64   77   2.8697   1.0971   0.7463,678.0,678,32,medium,run04,boundary
72665.0,20:11:05,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   55   64   77   2.8697   1.0971   0.7463,693.0,693,33,medium,run04,boundary
72680.0,20:11:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    5   64  177   1.1158   0.3290   0.3285,708.0,708,34,medium,run04,boundary
72695.0,20:11:35,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   20   64  177   1.1158   0.3290   0.3285,723.0,723,35,medium,run04,boundary
72710.0,20:11:50,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   35   64  177   1.1158   0.3290   0.3285,738.0,738,36,medium,run04,boundary
72725.0,20:12:05,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   51   64  177   1.1158   0.3290   0.3285,753.0,753,37,medium,run04,boundary
72740.0,20:12:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    -   64  377   0.5108  -0.0168   0.5498,768.0,768,38,medium,run04,boundary
72755.0,20:12:35,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   15   64  377   0.5108  -0.0168   0.5498,783.0,783,39,medium,run04,boundary
72770.0,20:12:50,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   30   64  377   0.5108  -0.0168   0.5498,798.0,798,40,medium,run04,boundary
72785.0,20:13:05,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   45   64  377   0.5108  -0.0168   0.5498,813.0,813,41,medium,run04,boundary
72800.0,20:13:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   60   64  377   0.5108  -0.0168   0.5498,828.0,828,42,medium,run04,boundary
72815.0,20:13:35,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    9   64  377   1.5924   0.3995   0.3217,843.0,843,43,medium,run04,boundary
72830.0,20:13:50,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   24   64  377   1.5924   0.3995   0.3217,858.0,858,44,medium,run04,boundary
72846.0,20:14:06,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   39   64  377   1.5924   0.3995   0.3217,874.0,874,45,medium,run04,boundary
72861.0,20:14:21,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   54   64  377   1.5924   0.3995   0.3217,889.0,889,46,medium,run04,boundary
72876.0,20:14:36,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    4   64  377   0.5108  -0.0168   0.5990,904.0,904,47,medium,run04,boundary
