t,type,port,from,to,reason,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
12434.055,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[12434.055]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,0,medium,run10,boundary
12434.055,state,2.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[12434.055]: port 2: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,1,medium,run10,boundary
12434.055,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[12434.055]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,2,medium,run10,boundary
12438.148,new_foreign_master,1.0,,,9e65f0.fffe.87933b-1,ptp4l[12438.148]: port 1: new foreign master 9e65f0.fffe.87933b-1,4.092999999998938,4,3,medium,run10,boundary
12440.112,state,1.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[12440.112]: port 1: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,6.0569999999988795,6,4,medium,run10,boundary
12440.496,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[12440.496]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,6.440999999998894,6,5,medium,run10,boundary
12441.521,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[12441.521]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),7.466000000000349,7,6,medium,run10,boundary
12442.152,best_master,,,,9e65f0.fffe.87933b,ptp4l[12442.152]: selected best master clock 9e65f0.fffe.87933b,8.096999999999753,8,7,medium,run10,boundary
12442.153,ptp_timescale_mismatch,,,,,ptp4l[12442.153]: foreign master not using PTP timescale,8.097999999999956,8,8,medium,run10,boundary
12442.153,state,1.0,MASTER,UNCALIBRATED,RS_SLAVE,ptp4l[12442.153]: port 1: MASTER to UNCALIBRATED on RS_SLAVE,8.097999999999956,8,9,medium,run10,boundary
12457.525,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[12457.525]: port 2: FAULTY to LISTENING on INIT_COMPLETE,23.469999999999345,23,10,medium,run10,boundary
12460.177,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[12460.177]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,26.12199999999939,26,11,medium,run10,boundary
12464.714,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[12464.714]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,30.65899999999965,31,12,medium,run10,boundary
12464.714,best_master,,,,9e65f0.fffe.87933b,ptp4l[12464.714]: selected best master clock 9e65f0.fffe.87933b,30.65899999999965,31,13,medium,run10,boundary
12464.714,ptp_timescale_mismatch,,,,,ptp4l[12464.714]: foreign master not using PTP timescale,30.65899999999965,31,14,medium,run10,boundary
12519.818,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[12519.818]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),85.76299999999901,86,15,medium,run10,boundary
12535.82,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[12535.820]: port 2: FAULTY to LISTENING on INIT_COMPLETE,101.76499999999942,102,16,medium,run10,boundary
12541.825,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[12541.825]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,107.77000000000044,108,17,medium,run10,boundary
12541.825,best_master,,,,9e65f0.fffe.87933b,ptp4l[12541.825]: selected best master clock 9e65f0.fffe.87933b,107.77000000000044,108,18,medium,run10,boundary
12541.825,ptp_timescale_mismatch,,,,,ptp4l[12541.825]: foreign master not using PTP timescale,107.77000000000044,108,19,medium,run10,boundary
12583.896,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[12583.896]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),149.84100000000035,150,20,medium,run10,boundary
12599.9,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[12599.900]: port 2: FAULTY to LISTENING on INIT_COMPLETE,165.84499999999935,166,21,medium,run10,boundary
12607.058,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[12607.058]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,173.0030000000006,173,22,medium,run10,boundary
12607.059,best_master,,,,9e65f0.fffe.87933b,ptp4l[12607.059]: selected best master clock 9e65f0.fffe.87933b,173.003999999999,173,23,medium,run10,boundary
12607.059,ptp_timescale_mismatch,,,,,ptp4l[12607.059]: foreign master not using PTP timescale,173.003999999999,173,24,medium,run10,boundary
12637.129,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[12637.129]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),203.07400000000052,203,25,medium,run10,boundary
12653.131,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[12653.131]: port 2: FAULTY to LISTENING on INIT_COMPLETE,219.0759999999991,219,26,medium,run10,boundary
12659.448,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[12659.448]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,225.39300000000003,225,27,medium,run10,boundary
12659.449,best_master,,,,9e65f0.fffe.87933b,ptp4l[12659.449]: selected best master clock 9e65f0.fffe.87933b,225.39400000000023,225,28,medium,run10,boundary
12659.449,ptp_timescale_mismatch,,,,,ptp4l[12659.449]: foreign master not using PTP timescale,225.39400000000023,225,29,medium,run10,boundary
