sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,source,offset_s,offset_us,stddev_s,stddev_us,scenario,run_id
0,2026-04-05T09:55:12+00:00,1775382912.0,0.0,0,servergm,-1.2870000000000001e-06,-1.2870000000000001,9.4e-05,94.0,low,run11
1,2026-04-05T09:56:14+00:00,1775382974.0,62.0,62,servergm,-2.2190000000000003e-06,-2.2190000000000003,9.4e-05,94.0,low,run11
2,2026-04-05T09:57:15+00:00,1775383035.0,123.0,123,servergm,-3.151e-06,-3.151,9.4e-05,94.0,low,run11
3,2026-04-05T09:58:17+00:00,1775383097.0,185.0,185,servergm,-4.084e-06,-4.0840000000000005,9.4e-05,94.0,low,run11
4,2026-04-05T09:59:18+00:00,1775383158.0,246.0,246,servergm,-5.017e-06,-5.017,9.4e-05,94.0,low,run11
5,2026-04-05T10:00:20+00:00,1775383220.0,308.0,308,servergm,-5.949e-06,-5.949,9.4e-05,94.0,low,run11
6,2026-04-05T10:01:21+00:00,1775383281.0,369.0,369,servergm,-1.021e-06,-1.0210000000000001,0.00010999999999999999,109.99999999999999,low,run11
7,2026-04-05T10:02:23+00:00,1775383343.0,431.0,431,servergm,-2.413e-06,-2.413,0.00010999999999999999,109.99999999999999,low,run11
8,2026-04-05T10:03:24+00:00,1775383404.0,492.0,492,servergm,-3.8050000000000004e-06,-3.8050000000000006,0.00010999999999999999,109.99999999999999,low,run11
9,2026-04-05T10:04:26+00:00,1775383466.0,554.0,554,servergm,-5.197e-06,-5.197,0.00010999999999999999,109.99999999999999,low,run11
