t,type,port,from,to,reason,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
9105.439,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[9105.439]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,0,low,run14,client
9105.439,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[9105.439]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,1,low,run14,client
9108.748,new_foreign_master,1.0,,,1ae083.fffe.c1ff1f-2,ptp4l[9108.748]: port 1: new foreign master 1ae083.fffe.c1ff1f-2,3.308999999999287,3,2,low,run14,client
9112.747,best_master,,,,eadbcb.fffe.020a06,ptp4l[9112.747]: selected best master clock eadbcb.fffe.020a06,7.307999999999083,7,3,low,run14,client
9112.748,ptp_timescale_mismatch,,,,,ptp4l[9112.748]: foreign master not using PTP timescale,7.308999999999287,7,4,low,run14,client
9112.748,state,1.0,LISTENING,UNCALIBRATED,RS_SLAVE,ptp4l[9112.748]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE,7.308999999999287,7,5,low,run14,client
9131.767,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[9131.767]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,26.32799999999952,26,6,low,run14,client
9155.792,state,1.0,SLAVE,UNCALIBRATED,SYNCHRONIZATION_FAULT,ptp4l[9155.792]: port 1: SLAVE to UNCALIBRATED on SYNCHRONIZATION_FAULT,50.352999999999156,50,7,low,run14,client
9171.805,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[9171.805]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,66.36599999999999,66,8,low,run14,client
9275.912,state,1.0,SLAVE,UNCALIBRATED,SYNCHRONIZATION_FAULT,ptp4l[9275.912]: port 1: SLAVE to UNCALIBRATED on SYNCHRONIZATION_FAULT,170.47299999999996,170,9,low,run14,client
9291.939,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[9291.939]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,186.5,186,10,low,run14,client
