sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-06T07:17:06+00:00,1775459826.0,0.0,0,6.06e-07,0.606,-0.000197283,-197.28300000000002,high,run06
1,2026-04-06T07:18:07+00:00,1775459887.0,61.0,61,2.02e-07,0.202,-0.000133226,-133.226,high,run06
2,2026-04-06T07:19:09+00:00,1775459949.0,123.0,123,-9.3415e-05,-93.415,-7.6252e-05,-76.252,high,run06
3,2026-04-06T07:20:10+00:00,1775460010.0,184.0,184,-0.000130808,-130.808,-0.000252447,-252.447,high,run06
4,2026-04-06T07:21:12+00:00,1775460072.0,246.0,246,-5.4089e-05,-54.089,-9.2821e-05,-92.821,high,run06
5,2026-04-06T07:22:13+00:00,1775460133.0,307.0,307,-5.4763e-05,-54.763,-7.9096e-05,-79.096,high,run06
6,2026-04-06T07:23:15+00:00,1775460195.0,369.0,369,1.7738e-05,17.738,1.9909e-05,19.909,high,run06
7,2026-04-06T07:24:17+00:00,1775460257.0,431.0,431,1.98e-07,0.198,-0.00012745,-127.45,high,run06
8,2026-04-06T07:25:18+00:00,1775460318.0,492.0,492,-2.2452e-05,-22.452,-3.9915e-05,-39.915,high,run06
9,2026-04-06T07:26:20+00:00,1775460380.0,554.0,554,2.1e-08,0.020999999999999998,-2.6785e-05,-26.785,high,run06
10,2026-04-06T07:27:21+00:00,1775460441.0,615.0,615,6.6e-07,0.66,-0.000187712,-187.71200000000002,high,run06
11,2026-04-06T07:28:23+00:00,1775460503.0,677.0,677,2.42e-07,0.24200000000000002,-0.000118255,-118.255,high,run06
12,2026-04-06T07:29:24+00:00,1775460564.0,738.0,738,-1.3441e-05,-13.441,-7.53e-06,-7.53,high,run06
13,2026-04-06T07:30:26+00:00,1775460626.0,800.0,800,-5.445e-06,-5.445,7.563e-06,7.563000000000001,high,run06
14,2026-04-06T07:31:27+00:00,1775460687.0,861.0,861,-1.2832e-05,-12.832,-1.3867e-05,-13.866999999999999,high,run06
15,2026-04-06T07:32:29+00:00,1775460749.0,923.0,923,-1.5771e-05,-15.770999999999999,-4.531e-05,-45.309999999999995,high,run06
16,2026-04-06T07:33:30+00:00,1775460810.0,984.0,984,-6.8743e-05,-68.74300000000001,-8.9931e-05,-89.931,high,run06
17,2026-04-06T07:34:32+00:00,1775460872.0,1046.0,1046,-5.53e-05,-55.300000000000004,-7.7017e-05,-77.017,high,run06
18,2026-04-06T07:35:34+00:00,1775460934.0,1108.0,1108,-5.7923e-05,-57.923,-3.4149e-05,-34.149,high,run06
19,2026-04-06T07:36:35+00:00,1775460995.0,1169.0,1169,-5.5505e-05,-55.504999999999995,-8.8775e-05,-88.775,high,run06
