sample_idx,iso_ts,t_s,t_rel_s,t_bin_s,system_time_s,system_time_us,last_offset_s,last_offset_us,scenario,run_id
0,2026-04-05T08:36:30+00:00,1775378190.0,0.0,0,1e-08,0.01,6.667e-06,6.667,low,run05
1,2026-04-05T08:37:31+00:00,1775378251.0,61.0,61,-9.8658e-05,-98.658,-0.000127659,-127.65899999999999,low,run05
2,2026-04-05T08:38:33+00:00,1775378313.0,123.0,123,-5.9383e-05,-59.382999999999996,-0.000127659,-127.65899999999999,low,run05
3,2026-04-05T08:39:34+00:00,1775378374.0,184.0,184,-2.0192e-05,-20.192,-0.000127659,-127.65899999999999,low,run05
4,2026-04-05T08:40:36+00:00,1775378436.0,246.0,246,0.000245712,245.712,0.000277611,277.611,low,run05
5,2026-04-05T08:41:37+00:00,1775378497.0,307.0,307,0.00022185,221.85,9.9695e-05,99.695,low,run05
6,2026-04-05T08:42:39+00:00,1775378559.0,369.0,369,2.1653e-05,21.653000000000002,9.9695e-05,99.695,low,run05
7,2026-04-05T08:43:40+00:00,1775378620.0,430.0,430,-1.3e-08,-0.013000000000000001,9.9695e-05,99.695,low,run05
8,2026-04-05T08:44:42+00:00,1775378682.0,492.0,492,-1.2e-08,-0.012,9.9695e-05,99.695,low,run05
9,2026-04-05T08:45:43+00:00,1775378743.0,553.0,553,-1.2e-08,-0.012,9.9695e-05,99.695,low,run05
